run,type,module,name,attrname,attrvalue,value
General-0-20220622-00:06:29-26916,runattr,,,configname,General,
General-0-20220622-00:06:29-26916,runattr,,,datetime,20220622-00:06:29,
General-0-20220622-00:06:29-26916,runattr,,,experiment,General,
General-0-20220622-00:06:29-26916,runattr,,,inifile,omnetpp.ini,
General-0-20220622-00:06:29-26916,runattr,,,iterationvars,,
General-0-20220622-00:06:29-26916,runattr,,,iterationvarsf,,
General-0-20220622-00:06:29-26916,runattr,,,measurement,,
General-0-20220622-00:06:29-26916,runattr,,,network,Network,
General-0-20220622-00:06:29-26916,runattr,,,processid,26916,
General-0-20220622-00:06:29-26916,runattr,,,repetition,0,
General-0-20220622-00:06:29-26916,runattr,,,replication,#0,
General-0-20220622-00:06:29-26916,runattr,,,resultdir,results,
General-0-20220622-00:06:29-26916,runattr,,,runnumber,0,
General-0-20220622-00:06:29-26916,runattr,,,seedset,0,
General-0-20220622-00:06:29-26916,param,,,Network.**.app.amountHosts,8,
General-0-20220622-00:06:29-26916,param,,,Network.**.app.interArrivalTime,exponential(1),
General-0-20220622-00:06:29-26916,param,,,Network.**.app.packetByteSize,125000,
General-0-20220622-00:06:29-26916,param,,,Network.**.app.destination,"intuniform(0, 7)",
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Average delay,,,16.61512204422
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Number of packets,,,168
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 0 to 0,,,25
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 1 to 0,,,28
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 2 to 0,,,25
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 3 to 0,,,27
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 4 to 0,,,17
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 5 to 0,,,18
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 6 to 0,,,13
General-0-20220622-00:06:29-26916,scalar,Network.node[0].app,Packets from 7 to 0,,,22
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Average delay,,,13.93203588204
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Number of packets,,,184
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 0 to 1,,,22
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 1 to 1,,,24
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 2 to 1,,,23
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 3 to 1,,,29
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 4 to 1,,,25
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 5 to 1,,,18
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 6 to 1,,,21
General-0-20220622-00:06:29-26916,scalar,Network.node[1].app,Packets from 7 to 1,,,29
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Average delay,,,11.543674635275
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Number of packets,,,179
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 0 to 2,,,27
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 1 to 2,,,33
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 2 to 2,,,25
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 3 to 2,,,19
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 4 to 2,,,22
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 5 to 2,,,17
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 6 to 2,,,19
General-0-20220622-00:06:29-26916,scalar,Network.node[2].app,Packets from 7 to 2,,,24
General-0-20220622-00:06:29-26916,scalar,Network.node[3].app,Average delay,,,7.3344918902507
General-0-20220622-00:06:29-26916,scalar,Network.node[3].app,Number of packets,,,220
General-0-20220622-00:06:29-26916,scalar,Network.node[3].app,Packets from 0 to 3,,,25
General-0-20220622-00:06:29-26916,scalar,Network.node[3].app,Packets from 1 to 3,,,23
General-0-20220622-00:06:29-26916,scalar,Network.node[3].app,Packets from 2 to 3,,,28
General-0-20220622-00:06:29-26916,scalar,Network.node[3].app,Packets from 3 to 3,,,31
