run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:09:21-27340,runattr,,,configname,General,,,
General-0-20220622-00:09:21-27340,runattr,,,datetime,20220622-00:09:21,,,
General-0-20220622-00:09:21-27340,runattr,,,experiment,General,,,
General-0-20220622-00:09:21-27340,runattr,,,inifile,omnetpp.ini,,,
General-0-20220622-00:09:21-27340,runattr,,,iterationvars,,,,
General-0-20220622-00:09:21-27340,runattr,,,iterationvarsf,,,,
General-0-20220622-00:09:21-27340,runattr,,,measurement,,,,
General-0-20220622-00:09:21-27340,runattr,,,network,Network,,,
General-0-20220622-00:09:21-27340,runattr,,,processid,27340,,,
General-0-20220622-00:09:21-27340,runattr,,,repetition,0,,,
General-0-20220622-00:09:21-27340,runattr,,,replication,#0,,,
General-0-20220622-00:09:21-27340,runattr,,,resultdir,results,,,
General-0-20220622-00:09:21-27340,runattr,,,runnumber,0,,,
General-0-20220622-00:09:21-27340,runattr,,,seedset,0,,,
General-0-20220622-00:09:21-27340,param,,,Network.**.app.amountHosts,8,,,
General-0-20220622-00:09:21-27340,param,,,"Network.node[{0,","1,",,,
General-0-20220622-00:09:21-27340,param,,,"Network.node[{0,","1,",,,
General-0-20220622-00:09:21-27340,param,,,"Network.node[{0,","1,",,,
General-0-20220622-00:09:21-27340,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20220622-00:09:21-27340,vector,Network.node[0].app,Hops,,,,"0","0"
