run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220621-23:15:42-22989,runattr,,,configname,General,,,
General-0-20220621-23:15:42-22989,runattr,,,datetime,20220621-23:15:42,,,
General-0-20220621-23:15:42-22989,runattr,,,experiment,General,,,
General-0-20220621-23:15:42-22989,runattr,,,inifile,omnetpp.ini,,,
General-0-20220621-23:15:42-22989,runattr,,,iterationvars,,,,
General-0-20220621-23:15:42-22989,runattr,,,iterationvarsf,,,,
General-0-20220621-23:15:42-22989,runattr,,,measurement,,,,
General-0-20220621-23:15:42-22989,runattr,,,network,Network,,,
General-0-20220621-23:15:42-22989,runattr,,,processid,22989,,,
General-0-20220621-23:15:42-22989,runattr,,,repetition,0,,,
General-0-20220621-23:15:42-22989,runattr,,,replication,#0,,,
General-0-20220621-23:15:42-22989,runattr,,,resultdir,results,,,
General-0-20220621-23:15:42-22989,runattr,,,runnumber,0,,,
General-0-20220621-23:15:42-22989,runattr,,,seedset,0,,,
General-0-20220621-23:15:42-22989,param,,,Network.**.app.amountHosts,8,,,
General-0-20220621-23:15:42-22989,param,,,"Network.node[{0,",2}].app.interArrivalTime,,,
General-0-20220621-23:15:42-22989,param,,,"Network.node[{0,",2}].app.packetByteSize,,,
General-0-20220621-23:15:42-22989,param,,,"Network.node[{0,",2}].app.destination,,,
General-0-20220621-23:15:42-22989,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20220621-23:15:42-22989,vector,Network.node[0].app,Hops,,,,"0","0"
General-0-20220621-23:15:42-22989,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 0.898560388484 0.898560388484 1.821783519955 1.898560388484 3.773328855839 3.773328855839 3.859804212075 4.324377342509 4.773328855839 4.859804212075 5.301383768902 5.773328855839 5.786511932624 6.139671071762 6.198055740855 6.52596940626 6.773328855839 7.564128706924 7.773328855839 8.564128706924 8.773328855839 9.512968020783 9.773328855839 10.363172325843 10.773328855839 11.081864138406 11.363172325843 11.773328855839 11.834538251719 12.363172325843 12.673971104619 12.773328855839 13.363172325843 13.773328855839 14.363172325843 14.482340368894 14.556025724359 14.773328855839 14.967603720602 15.058764746726 15.363172325843 15.773328855839 16.103377255034 16.363172325843 16.773328855839 17.363172325843 17.773328855839 18.363172325843 18.773328855839 19.25354718371 19.363172325843 19.773328855839 20.363172325843 20.773328855839 21.294439399622 21.363172325843 21.773328855839 21.9361485723 22.363172325843 22.773328855839 23.363172325843 23.541388129362 23.773328855839 24.773328855839 25.155390204255 25.773328855839 25.890354625445 26.773328855839 27.026293567155 27.047509410774 27.152167976593 27.773328855839 28.047509410774 28.427395678817 28.582125359317 28.773328855839 29.182974844391 29.352960017784 29.773328855839 30.20440671874 30.773328855839 30.774324697878 31.20440671874 31.512151989634 31.624098150267 31.773328855839 32.159663870495 32.466944222648 32.673147504678 32.773328855839 33.773328855839 33.971148391769 34.008437689302 34.617520112485 34.762798139777 34.773328855839 34.781766708978 34.971148391769 35.173537519655 35.773328855839 36.101097919552 36.134918458721 36.386360390796 36.773328855839 36.874917440104 37.101097919552 37.773328855839 38.101097919552 38.773328855839 39.101097919552 39.752832461382 39.773328855839 40.101097919552 40.3505785382 40.773328855839 40.796097033251 41.101097919552 41.370629439992 41.773328855839 42.101097919552 42.773328855839 43.101097919552 43.696980501686 43.773328855839 44.101097919552 44.773328855839 44.795892969237 45.101097919552 45.773328855839 45.854727100725 46.101097919552 46.773328855839 46.965324546412 47.101097919552 47.10335323484 47.773328855839 48.492395924631 48.540707172454 48.773328855839 48.944497984856 49.540707172454 49.773328855839 49.788925778384 50.540707172454 50.773328855839 51.540707172454 51.773328855839 52.540707172454 52.773328855839 53.540707172454 53.773328855839 54.24342262456 54.477724143336 54.540707172454 54.773328855839 55.485743388756 55.540707172454 55.773328855839 56.540707172454 56.54448610385 56.773328855839 57.416401957476 57.540707172454 57.708482490743 57.773328855839 58.243547167826 58.540707172454 58.773328855839 58.871488748817 59.51526975042 59.540707172454 59.773328855839 59.795546758899 60.540707172454 60.77241083297 60.773328855839 61.184912062892 61.540707172454 61.773328855839 62.252984260042 62.401696529294 62.632680586152 62.773328855839 63.632680586152 63.773328855839 63.908331862567 64.368345820307 64.632680586152 64.773328855839 65.454615201185 65.632680586152 65.773328855839 66.632680586152 66.773328855839 67.174946858902 67.632680586152 67.773328855839 68.294761224656 68.395795999965 68.632680586152 68.773328855839 69.632680586152 69.773328855839 70.632680586152 70.773328855839 71.632680586152 71.773328855839 71.969384372309 72.632680586152 72.773328855839 73.773328855839 74.074705673101 74.132032599525 74.293319858336 74.773328855839 75.060511096426 75.293319858336 75.660457983067 75.773328855839 76.293319858336 76.773328855839 77.004703255219 77.024893383365 77.064869682423 77.64774807129 77.773328855839 78.773328855839 79.400167332569 79.773328855839 80.400167332569 80.773328855839 81.400167332569 81.539318194135 81.773328855839 82.074202569892 82.400167332569 82.773328855839 83.400167332569 83.773328855839 84.400167332569 84.578114352977 84.773328855839 85.400167332569 85.410957869043 85.773328855839 86.400167332569 86.773328855839 87.400167332569 87.41419839155 87.512848699968 87.773328855839 88.400167332569 88.773328855839 89.400167332569 89.773328855839 90.053153207927 90.139923690267 90.400167332569 90.773328855839 91.400167332569 91.773328855839 92.400167332569 92.773328855839 92.789179618943 92.930510332504 93.400167332569 93.773328855839 93.972290986683 94.400167332569 94.773328855839 95.232224796792 95.400167332569 95.573878963818 95.773328855839 95.88139668758 96.083747126147 96.400167332569 96.773328855839 96.966876168106 96.987188626902 97.167440878887 97.400167332569 97.773328855839 98.400167332569 98.773328855839 98.9331819513 99.400167332569 99.773328855839 99.776264983448 100.400167332569 100.773328855839 101.105022857198 101.400167332569 101.672927010678 101.773328855839 101.958947983186 102.400167332569 102.773328855839 103.36997239248 103.400167332569 103.773328855839 104.228365360309 104.400167332569 104.732709166897 104.773328855839 105.400167332569 105.773328855839 106.400167332569 106.773328855839 106.996442742758 107.248862735649 107.400167332569 107.773328855839 108.400167332569 108.773328855839 109.400167332569 109.773328855839 110.301144392533 110.400167332569 110.773328855839 110.893768419985 111.400167332569 111.773328855839 112.400167332569 112.767228299842 112.773328855839 113.400167332569 113.773328855839 113.969466867089 114.092993514451 114.400167332569 114.446013647725 114.773328855839 115.400167332569 115.773328855839 115.902832206289 116.400167332569 116.433554702906 116.773328855839 116.938573450661 117.400167332569 117.773328855839 118.400167332569 118.773328855839 119.068072846729 119.400167332569 119.773328855839 120.400167332569 120.773328855839 121.202903296712 121.400167332569 121.773328855839 122.382286230357 122.400167332569 122.773328855839 123.270147640794 123.400167332569 123.773328855839 124.34798252493 124.400167332569 124.773328855839 125.109850296226 125.371907537901 125.400167332569 125.773328855839 126.400167332569 126.404704548546 126.773328855839 126.907015346807 127.400167332569 127.458411336941 127.773328855839 128.400167332569 128.422864902435 128.773328855839 129.066969610758 129.425896826628 129.649252527223 129.773328855839 130.505217025284 130.649252527223 130.773328855839 130.847816649982 131.649252527223 131.773328855839 131.810191705753 132.370152775827 132.649252527223 132.773328855839 133.649252527223 133.773328855839 134.477600380777 134.649252527223 134.773328855839 135.371329459083 135.649252527223 135.773328855839 136.225409194726 136.649252527223 136.773328855839 137.649252527223 137.773328855839 138.649252527223 138.773328855839 139.649252527223 139.697944674008 139.773328855839 139.850238299262 140.30841118322 140.410731798073 140.649252527223 140.773328855839 140.983193349501 141.649252527223 141.773328855839 142.649252527223 142.773328855839 143.649252527223 143.773328855839 144.649252527223 144.773328855839 145.121003110011 145.649252527223 145.773328855839 145.891079969557 146.485153467881 146.59076611151 146.649252527223 146.773328855839 147.649252527223 147.773328855839 148.649252527223 148.773328855839 149.110048241593 149.649252527223 149.773328855839 150.649252527223 150.773328855839 150.94978102667 151.111651113382 151.649252527223 151.773328855839 152.649252527223 152.773328855839 153.461828403133 153.649252527223 153.773328855839 154.649252527223 154.773328855839 155.487737220236 155.526020133121 155.649252527223 155.703345708266 155.773328855839 156.649252527223 156.659312132188 156.773328855839 157.649252527223 157.773328855839 158.169135587797 158.649252527223 158.773328855839 159.649252527223 159.773328855839 160.171122083323 160.649252527223 160.70112496146 160.773328855839 160.851915971654 161.374786001742 161.649252527223 161.773328855839 162.570224568024 162.649252527223 162.773328855839 163.037497134434 163.641796206282 163.649252527223 163.773328855839 164.186653334427 164.649252527223 164.773328855839 165.466987538239 165.649252527223 165.773328855839 165.921899383031 166.649252527223 166.773328855839 167.649252527223 167.773328855839 168.649252527223 168.773328855839 169.631859974935 169.649252527223 169.773328855839 170.078112795454 170.649252527223 170.773328855839 171.649252527223 171.773328855839 172.649252527223 172.773328855839 172.962724547556 173.151019522775 173.565632065434 173.649252527223 173.773328855839 174.301763165421 174.35763321831 174.580772426411 174.649252527223 174.773328855839 174.77860193387 175.649252527223 175.773328855839 176.357014655976 176.649252527223 176.773328855839 176.780671757333 177.649252527223 177.773328855839 178.649252527223 178.773328855839 179.649252527223 179.66521604574 179.773328855839 180.602354763463 180.649252527223 180.773328855839 181.510318790788 181.542675595433 181.649252527223 181.773328855839 182.649252527223 182.773328855839 183.0735068217 183.125189727495 183.649252527223 183.773328855839 183.986113364176 184.257781434518 184.649252527223 184.773328855839 185.649252527223 185.773328855839 186.649252527223 186.773328855839 187.649252527223 187.773328855839 188.649252527223 188.773328855839 189.136914322512 189.649252527223 189.773328855839 189.903993977084 190.649252527223 190.773328855839 191.649252527223 191.773328855839 191.901165944574 192.649252527223 192.773328855839 193.210951315936 193.584837811839 193.649252527223 193.773328855839 194.392817865238 194.649252527223 194.773328855839 194.900682987925 195.139435860773 195.374960434192 195.626559047305 195.649252527223 195.773328855839 195.873418316104 196.649252527223 196.716397091518 196.773328855839 197.649252527223 197.773328855839 198.061744524752 198.649252527223 198.663423511276 198.773328855839 199.773328855839","0 1 0 1 0 1 0 1 2 1 2 3 2 3 4 5 6 5 6 5 6 5 6 5 6 5 6 7 6 7 8 9 8 9 8 9 10 11 10 11 12 13 12 13 14 13 14 13 14 13 14 15 14 15 14 15 16 15 16 17 16 17 18 17 16 17 16 17 16 17 18 19 18 19 20 21 20 21 22 21 22 21 22 23 24 25 24 25 26 27 26 25 26 27 28 29 28 29 30 31 30 31 32 33 32 33 34 33 34 33 34 35 34 35 36 35 36 37 38 37 38 37 38 39 38 39 38 39 40 39 40 41 40 41 42 43 42 43 44 43 44 45 44 45 46 45 46 45 46 45 46 45 46 47 48 47 48 49 48 49 50 49 50 51 52 51 52 53 52 53 54 55 54 55 56 57 56 57 58 57 58 59 60 59 60 59 60 61 62 61 62 63 62 63 62 63 64 63 64 65 66 65 66 65 66 65 66 65 66 67 66 65 66 67 68 67 68 69 70 69 70 69 70 71 72 73 72 71 72 71 72 71 72 73 72 73 74 73 74 73 74 75 74 75 76 75 76 75 76 77 78 77 78 77 78 77 78 79 80 79 80 79 80 79 80 81 82 81 82 83 82 83 84 85 84 85 86 87 86 87 88 89 90 89 90 89 90 91 90 91 92 91 92 93 94 93 94 95 94 95 96 95 96 97 98 97 98 97 98 97 98 99 100 99 100 99 100 99 100 101 100 101 102 101 102 103 102 103 102 103 104 105 106 105 106 105 106 107 108 107 108 109 108 109 108 109 110 109 110 109 110 111 110 111 112 111 112 113 112 113 114 113 114 115 116 115 116 117 116 117 118 119 118 119 120 119 120 121 122 121 122 123 122 123 124 123 124 125 126 125 126 125 126 127 126 127 128 127 128 129 128 129 128 129 128 129 130 129 130 131 132 133 132 133 134 133 134 133 134 133 134 133 134 135 134 135 136 137 138 137 138 137 138 137 138 139 138 139 138 139 140 141 140 141 140 141 142 141 142 141 142 143 144 145 144 145 146 145 146 145 146 147 146 147 146 147 148 149 148 149 150 151 150 151 152 151 152 153 154 153 154 155 154 155 156 155 156 157 156 157 156 157 156 157 158 157 158 159 158 159 158 159 158 159 160 161 162 161 162 163 164 165 164 165 166 165 166 167 166 167 168 167 168 167 168 169 168 169 170 169 170 171 172 171 172 171 172 173 174 173 174 175 176 175 176 175 176 175 176 175 176 175 176 177 176 177 178 177 178 177 178 179 178 179 180 181 180 181 182 181 182 183 184 185 186 185 186 187 188 187 188 187 188 189 190 189 188"
