run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:13:13-28126,runattr,,,configname,General,,,
General-0-20220622-00:13:13-28126,runattr,,,datetime,20220622-00:13:13,,,
General-0-20220622-00:13:13-28126,runattr,,,experiment,General,,,
General-0-20220622-00:13:13-28126,runattr,,,inifile,omnetpp.ini,,,
General-0-20220622-00:13:13-28126,runattr,,,iterationvars,,,,
General-0-20220622-00:13:13-28126,runattr,,,iterationvarsf,,,,
General-0-20220622-00:13:13-28126,runattr,,,measurement,,,,
General-0-20220622-00:13:13-28126,runattr,,,network,Network,,,
General-0-20220622-00:13:13-28126,runattr,,,processid,28126,,,
General-0-20220622-00:13:13-28126,runattr,,,repetition,0,,,
General-0-20220622-00:13:13-28126,runattr,,,replication,#0,,,
General-0-20220622-00:13:13-28126,runattr,,,resultdir,results,,,
General-0-20220622-00:13:13-28126,runattr,,,runnumber,0,,,
General-0-20220622-00:13:13-28126,runattr,,,seedset,0,,,
General-0-20220622-00:13:13-28126,param,,,Network.**.app.amountHosts,8,,,
General-0-20220622-00:13:13-28126,param,,,Network.**.app.interArrivalTime,exponential(2),,,
General-0-20220622-00:13:13-28126,param,,,Network.**.app.packetByteSize,125000,,,
General-0-20220622-00:13:13-28126,param,,,Network.**.app.destination,"intuniform(0, 7)",,,
General-0-20220622-00:13:13-28126,vector,Network.node[0].app,Delay,,,,"0 1.116869338186 1.797120776968 5.903290671769 8.018401781778 11.801092855972 13.801092855972 14.72177759512 14.801092855972 21.970556327443 22.801092855972 26.801092855972 26.970556327443 28.255808080355 30.970556327443 33.101699379043 34.970556327443 35.421850876138 38.421850876138 39.421850876138 42.970556327443 43.970556327443 44.421850876138 44.970556327443 55.492758578441 55.970556327443 60.421850876138 61.421850876138 62.421850876138 62.970556327443 65.970556327443 66.421850876138 71.421850876138 77.421850876138 79.421850876138 83.970556327443 85.421850876138 87.970556327443 90.421850876138 93.733476272485 96.421850876138 100.421850876138 101.970556327443 102.421850876138 105.26952231513 105.970556327443 108.421850876138 113.421850876138 117.970556327443 119.970556327443 122.970556327443 126.421850876138 127.970556327443 132.421850876138 132.970556327443 133.421850876138 134.421850876138 135.292329471211 135.970556327443 137.421850876138 138.421850876138 142.421850876138 142.970556327443 145.421850876138 152.970556327443 155.582843025851 157.64823027755 158.970556327443 161.421850876138 161.970556327443 162.421850876138 165.421850876138 166.421850876138 168.421850876138 170.970556327443 177.421850876138 179.577160002877 179.970556327443 181.970556327443 182.970556327443 183.970556327443 184.421850876138 185.970556327443 190.421850876138 192.970556327443 195.871884314662 195.970556327443","0 1.0001 0 2.0002 0 6.759746402211 1.342273251572 0 7.602697448066 4.832926549985 7.863676507644 3.227949718591 2.348053637354 1.0001 4.123423390226 0 5.301374571637 9.946037881687 8.541267240496 13.776051336956 6.896662968905 7.686899297704 12.456353516472 19.324756788261 0 12.100376732124 16.395388935457 16.008989396382 16.905623584791 20.616642209555 21.97578850668 4.889073829057 17.661338302669 20.879924387754 18.503141850071 25.470669481241 18.210670307871 13.149855452721 25.122464007289 0 29.734675613469 23.873298831486 32.781538867648 9.319577064016 0 38.181038854705 41.133341492855 43.701960546138 50.68204694416 45.365440101699 53.250665997443 14.261607583845 51.996860996126 16.77583115536 49.413239109977 47.305268632608 48.018762589844 0 19.028321520299 61.448155544821 19.188331682764 18.992309943041 60.051432116573 62.502726665268 42.024359437416 0 0 58.529497493854 54.803148716166 17.893919650453 23.438032318332 44.116003421302 44.794543340167 55.613441462355 19.907778399533 63.208548158587 0 22.728315659923 80.012047852608 22.829671920972 23.721798008136 51.317258724445 48.319956100168 88.463342401303 25.06747018595 0 73.961323154786"
