run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:12:27-27955,runattr,,,configname,General,,,
General-0-20220622-00:12:27-27955,runattr,,,datetime,20220622-00:12:27,,,
General-0-20220622-00:12:27-27955,runattr,,,experiment,General,,,
General-0-20220622-00:12:27-27955,runattr,,,inifile,omnetpp.ini,,,
General-0-20220622-00:12:27-27955,runattr,,,iterationvars,,,,
General-0-20220622-00:12:27-27955,runattr,,,iterationvarsf,,,,
General-0-20220622-00:12:27-27955,runattr,,,measurement,,,,
General-0-20220622-00:12:27-27955,runattr,,,network,Network,,,
General-0-20220622-00:12:27-27955,runattr,,,processid,27955,,,
General-0-20220622-00:12:27-27955,runattr,,,repetition,0,,,
General-0-20220622-00:12:27-27955,runattr,,,replication,#0,,,
General-0-20220622-00:12:27-27955,runattr,,,resultdir,results,,,
General-0-20220622-00:12:27-27955,runattr,,,runnumber,0,,,
General-0-20220622-00:12:27-27955,runattr,,,seedset,0,,,
General-0-20220622-00:12:27-27955,param,,,Network.**.app.amountHosts,8,,,
General-0-20220622-00:12:27-27955,param,,,"Network.node[{0,","1,",,,
General-0-20220622-00:12:27-27955,param,,,"Network.node[{0,","1,",,,
General-0-20220622-00:12:27-27955,param,,,"Network.node[{0,","1,",,,
General-0-20220622-00:12:27-27955,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20220622-00:12:27-27955,vector,Network.node[0].app,Hops,,,,"0","0"
General-0-20220622-00:12:27-27955,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 1.797120776968 1.797120776968 2.433833058652 2.797120776968 3.732725755154 3.797120776968 4.719308424149 4.797120776968 5.23807398178 5.797120776968 5.903290671769 6.797120776968 7.903290671769 7.903290671769 8.85481251033 8.903290671769 8.903290671769 9.903290671769 9.903290671769 10.903290671769 10.903290671769 11.903290671769 12.903290671769 12.903290671769 13.903290671769 13.903290671769 14.903290671769 14.903290671769 15.903290671769 15.903290671769 16.545256248614 16.903290671769 16.903290671769 16.957662812675 17.445759794148 17.736315848732 17.774252987134 17.903290671769 18.557794608487 18.903290671769 18.903290671769 19.060678472637 19.903290671769 20.037792571253 20.903290671769 20.903290671769 21.23328472489 21.903290671769 21.903290671769 22.903290671769 22.903290671769 23.625500323804 23.903290671769 23.903290671769 24.903290671769 24.903290671769 25.846695215178 25.903290671769 25.903290671769 26.903290671769 26.903290671769 27.535550802233 27.903290671769 28.004153839784 28.355980930635 28.903290671769 28.903290671769 29.903290671769 29.903290671769 30.903290671769 31.903290671769 32.903290671769 32.903290671769 33.903290671769 33.903290671769 34.903290671769 34.903290671769 35.903290671769 35.903290671769 36.903290671769 37.903290671769 37.903290671769 38.903290671769 38.903290671769 39.076181631121 39.903290671769 39.903290671769 40.903290671769 41.903290671769 42.903290671769 42.903290671769 43.903290671769 43.903290671769 44.903290671769 44.903290671769 45.903290671769 45.903290671769 46.600036200129 46.903290671769 46.903290671769 47.903290671769 47.903290671769 48.903290671769 48.903290671769 49.903290671769 49.903290671769 50.606517245143 50.903290671769 50.903290671769 51.903290671769 51.903290671769 52.903290671769 52.903290671769 53.126384865361 53.903290671769 54.89264294928 54.903290671769 54.903290671769 55.903290671769 55.903290671769 56.903290671769 57.550158696781 57.903290671769 57.903290671769 58.903290671769 58.903290671769 59.24860031991 59.903290671769 59.903290671769 60.433848374814 60.903290671769 60.903290671769 61.903290671769 62.903290671769 62.903290671769 63.903290671769 63.903290671769 64.180768134528 64.903290671769 65.903290671769 65.903290671769 66.431332168215 66.903290671769 66.903290671769 67.903290671769 68.207054989088 68.903290671769 68.903290671769 69.903290671769 69.903290671769 70.362724757361 70.903290671769 70.903290671769 71.903290671769 71.903290671769 72.227530518174 72.903290671769 72.903290671769 72.906859983339 73.903290671769 74.903290671769 74.903290671769 75.672818396413 75.903290671769 75.903290671769 76.903290671769 76.903290671769 77.903290671769 77.903290671769 78.903290671769 78.903290671769 79.903290671769 80.903290671769 80.903290671769 81.903290671769 81.903290671769 82.617889354978 82.903290671769 82.903290671769 83.903290671769 84.903290671769 84.903290671769 85.903290671769 85.903290671769 86.297354925133 86.561722344362 86.903290671769 86.903290671769 87.903290671769 87.903290671769 88.903290671769 88.903290671769 89.581369255581 89.648942826685 89.792293595311 89.903290671769 89.903290671769 90.903290671769 91.903290671769 91.903290671769 92.903290671769 92.903290671769 93.903290671769 93.903290671769 94.903290671769 94.903290671769 95.903290671769 95.903290671769 96.903290671769 97.89198727292 97.903290671769 97.903290671769 98.338265689122 98.903290671769 98.903290671769 99.583460377079 99.903290671769 99.903290671769 100.903290671769 101.903290671769 101.903290671769 102.021053983766 102.124419795357 102.903290671769 102.903290671769 103.846267068718 103.903290671769 103.903290671769 104.468202678658 104.903290671769 104.903290671769 105.903290671769 105.903290671769 106.741395669172 106.903290671769 106.903290671769 107.903290671769 107.903290671769 108.903290671769 108.903290671769 109.903290671769 109.903290671769 110.903290671769 111.903290671769 112.903290671769 112.903290671769 113.41726433688 113.903290671769 114.164603925669 114.903290671769 114.903290671769 115.903290671769 116.087483068811 116.903290671769 117.903290671769 117.903290671769 118.811346517422 118.903290671769 118.903290671769 119.903290671769 119.903290671769 120.903290671769 120.903290671769 121.903290671769 121.903290671769 122.903290671769 122.903290671769 123.35102654899 123.903290671769 123.903290671769 124.903290671769 124.903290671769 125.426726699968 125.903290671769 125.903290671769 126.893462046304 126.903290671769 127.903290671769 128.0018037044 128.903290671769 128.903290671769 129.903290671769 130.279919005746 130.903290671769 130.903290671769 131.903290671769 131.903290671769 132.903290671769 132.903290671769 133.389244881364 133.903290671769 133.903290671769 134.66562209255 134.903290671769 134.903290671769 135.602975044504 135.903290671769 135.903290671769 136.086814334046 136.737246369999 136.903290671769 136.903290671769 137.903290671769 137.903290671769 138.903290671769 138.903290671769 139.903290671769 140.725324772553 140.903290671769 141.038276313322 141.304957559867 141.903290671769 142.903290671769 142.903290671769 143.903290671769 143.903290671769 144.903290671769 144.903290671769 145.903290671769 145.903290671769 146.903290671769 146.903290671769 146.946229456697 146.97936164554 147.903290671769 147.903290671769 148.903290671769 148.903290671769 149.903290671769 149.903290671769 150.903290671769 150.903290671769 151.903290671769 152.284478676581 152.903290671769 152.903290671769 153.109938410035 153.602770054461 153.903290671769 153.903290671769 154.8173286317 154.903290671769 154.903290671769 155.903290671769 155.903290671769 156.17293263581 156.903290671769 157.903290671769 157.903290671769 158.903290671769 158.903290671769 159.903290671769 159.903290671769 160.903290671769 160.903290671769 161.846213022561 161.903290671769 161.903290671769 162.699284646634 162.903290671769 162.903290671769 163.903290671769 163.903290671769 164.903290671769 164.903290671769 165.903290671769 166.664782455841 166.903290671769 166.903290671769 167.292778251968 167.903290671769 167.903290671769 168.349712708572 168.903290671769 168.903290671769 169.056905859098 169.31406633365 169.903290671769 169.903290671769 170.903290671769 170.903290671769 171.903290671769 171.903290671769 172.903290671769 172.903290671769 173.903290671769 174.903290671769 174.903290671769 175.903290671769 175.903290671769 176.903290671769 176.903290671769 177.209332868768 177.903290671769 177.903290671769 177.996337691013 178.024430873498 178.047417373915 178.903290671769 179.572264742345 179.903290671769 179.903290671769 180.149290163041 180.903290671769 181.903290671769 181.903290671769 182.903290671769 183.475221724389 183.903290671769 183.903290671769 184.428178889585 184.710114658415 184.903290671769 184.903290671769 185.428037295168 185.903290671769 185.903290671769 186.035980413626 186.903290671769 187.254109324273 187.903290671769 188.390450291758 188.903290671769 188.903290671769 189.903290671769 190.903290671769 191.497941295822 191.903290671769 191.903290671769 192.434154202292 192.720660245056 192.903290671769 192.903290671769 193.159596566844 193.903290671769 193.903290671769 194.903290671769 194.903290671769 195.903290671769 195.903290671769 196.180519769292 196.903290671769 196.903290671769 197.520983522444 197.903290671769 197.903290671769 198.810800504776 198.903290671769 199.903290671769 199.903290671769","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 3 4 5 4 5 4 5 6 5 6 5 6 7 6 7 6 7 8 7 8 7 8 9 8 9 8 9 10 9 10 11 10 11 10 11 10 9 8 9 8 9 8 9 8 9 8 7 8 7 8 9 8 9 8 7 6 7 6 7 6 7 6 7 8 7 8 7 8 7 8 7 8 9 8 9 8 9 8 9 10 9 10 9 10 9 10 9 10 9 10 9 10 11 10 11 12 11 12 11 10 11 10 11 12 11 10 11 12 11 12 11 12 11 12 11 12 13 12 13 12 13 14 13 14 15 14 13 14 15 14 15 14 15 14 15 14 15 14 13 14 13 14 15 14 15 14 13 14 13 14 15 16 15 16 15 16 15 16 17 18 19 18 19 18 17 18 17 18 17 18 17 18 17 18 17 18 17 18 19 18 19 20 19 20 19 18 19 20 21 20 21 22 21 22 23 22 23 22 23 24 23 24 23 24 23 24 23 24 23 22 21 22 23 22 23 22 23 22 23 22 21 22 23 22 23 22 23 22 23 22 23 22 23 24 23 24 23 24 25 24 25 26 25 24 25 24 25 24 25 24 25 24 25 24 25 26 25 26 27 26 27 28 27 28 29 30 29 30 29 30 29 30 29 30 29 30 31 30 29 30 29 30 29 30 29 30 29 30 31 32 31 32 31 32 31 32 31 32 31 32 31 32 33 34 33 34 35 34 35 34 35 36 35 34 35 34 35 34 35 34 35 36 35 36 37 36 37 36 37 36 37 36 37 36 37 38 37 38 39 38 39 40 41 40 41 40 41 40 41 40 41 40 39 40 39 40 39 40 41 40 41 42 43 44 43 44 43 44 45 44 43 44 43 44 43 44 45 46 45 46 47 46 47 48 47 48 47 48 47 48 47 46 47 46 47 48 49 48 49 50 49 50 49 50 49 50 51 50 51 52 51 52 53 52 51 52"
